,epoch,minibatch,trainstep,task,Binary AUROC
0,0,2,0,tox,"tensor(0.4433, device='cuda:0', dtype=torch.float64)"
1,1,2,1,tox,"tensor(0.4822, device='cuda:0', dtype=torch.float64)"
2,2,2,2,tox,"tensor(0.5012, device='cuda:0', dtype=torch.float64)"
3,3,2,3,tox,"tensor(0.5011, device='cuda:0', dtype=torch.float64)"
4,4,2,4,tox,"tensor(0.5199, device='cuda:0', dtype=torch.float64)"
5,5,2,5,tox,"tensor(0.5233, device='cuda:0', dtype=torch.float64)"
6,6,2,6,tox,"tensor(0.5261, device='cuda:0', dtype=torch.float64)"
7,7,2,7,tox,"tensor(0.5270, device='cuda:0', dtype=torch.float64)"
8,8,2,8,tox,"tensor(0.5234, device='cuda:0', dtype=torch.float64)"
9,9,2,9,tox,"tensor(0.5198, device='cuda:0', dtype=torch.float64)"
10,10,2,10,tox,"tensor(0.5162, device='cuda:0', dtype=torch.float64)"
11,11,2,11,tox,"tensor(0.5157, device='cuda:0', dtype=torch.float64)"
12,12,2,12,tox,"tensor(0.5143, device='cuda:0', dtype=torch.float64)"
13,13,2,13,tox,"tensor(0.5158, device='cuda:0', dtype=torch.float64)"
14,14,2,14,tox,"tensor(0.5143, device='cuda:0', dtype=torch.float64)"
15,15,2,15,tox,"tensor(0.5131, device='cuda:0', dtype=torch.float64)"
16,16,2,16,tox,"tensor(0.5123, device='cuda:0', dtype=torch.float64)"
17,17,2,17,tox,"tensor(0.5119, device='cuda:0', dtype=torch.float64)"
18,18,2,18,tox,"tensor(0.5099, device='cuda:0', dtype=torch.float64)"
19,19,2,19,tox,"tensor(0.5119, device='cuda:0', dtype=torch.float64)"
20,20,2,20,tox,"tensor(0.5101, device='cuda:0', dtype=torch.float64)"
21,21,2,21,tox,"tensor(0.5076, device='cuda:0', dtype=torch.float64)"
22,22,2,22,tox,"tensor(0.5077, device='cuda:0', dtype=torch.float64)"
23,23,2,23,tox,"tensor(0.5079, device='cuda:0', dtype=torch.float64)"
24,24,2,24,tox,"tensor(0.5079, device='cuda:0', dtype=torch.float64)"
25,25,2,25,tox,"tensor(0.5081, device='cuda:0', dtype=torch.float64)"
26,26,2,26,tox,"tensor(0.5061, device='cuda:0', dtype=torch.float64)"
27,27,2,27,tox,"tensor(0.5057, device='cuda:0', dtype=torch.float64)"
28,28,2,28,tox,"tensor(0.5064, device='cuda:0', dtype=torch.float64)"
29,29,2,29,tox,"tensor(0.5071, device='cuda:0', dtype=torch.float64)"
30,30,2,30,tox,"tensor(0.5076, device='cuda:0', dtype=torch.float64)"
31,31,2,31,tox,"tensor(0.5077, device='cuda:0', dtype=torch.float64)"
32,32,2,32,tox,"tensor(0.5078, device='cuda:0', dtype=torch.float64)"
33,33,2,33,tox,"tensor(0.5074, device='cuda:0', dtype=torch.float64)"
34,34,2,34,tox,"tensor(0.5071, device='cuda:0', dtype=torch.float64)"
35,35,2,35,tox,"tensor(0.5072, device='cuda:0', dtype=torch.float64)"
36,36,2,36,tox,"tensor(0.5074, device='cuda:0', dtype=torch.float64)"
37,37,2,37,tox,"tensor(0.5069, device='cuda:0', dtype=torch.float64)"
38,38,2,38,tox,"tensor(0.5068, device='cuda:0', dtype=torch.float64)"
39,39,2,39,tox,"tensor(0.5057, device='cuda:0', dtype=torch.float64)"
40,40,2,40,tox,"tensor(0.5061, device='cuda:0', dtype=torch.float64)"
41,41,2,41,tox,"tensor(0.5057, device='cuda:0', dtype=torch.float64)"
42,42,2,42,tox,"tensor(0.5047, device='cuda:0', dtype=torch.float64)"
43,43,2,43,tox,"tensor(0.5049, device='cuda:0', dtype=torch.float64)"
44,44,2,44,tox,"tensor(0.5036, device='cuda:0', dtype=torch.float64)"
45,45,2,45,tox,"tensor(0.5045, device='cuda:0', dtype=torch.float64)"
46,46,2,46,tox,"tensor(0.5038, device='cuda:0', dtype=torch.float64)"
47,47,2,47,tox,"tensor(0.5038, device='cuda:0', dtype=torch.float64)"
48,48,2,48,tox,"tensor(0.5037, device='cuda:0', dtype=torch.float64)"
49,49,2,49,tox,"tensor(0.5041, device='cuda:0', dtype=torch.float64)"
