,epoch,minibatch,trainstep,task,Binary Accuracy
0,0,2,0,tox,"tensor(0.5222, device='cuda:0')"
1,1,2,1,tox,"tensor(0.5370, device='cuda:0')"
2,2,2,2,tox,"tensor(0.5407, device='cuda:0')"
3,3,2,3,tox,"tensor(0.5426, device='cuda:0')"
4,4,2,4,tox,"tensor(0.5548, device='cuda:0')"
5,5,2,5,tox,"tensor(0.5574, device='cuda:0')"
6,6,2,6,tox,"tensor(0.5566, device='cuda:0')"
7,7,2,7,tox,"tensor(0.5537, device='cuda:0')"
8,8,2,8,tox,"tensor(0.5519, device='cuda:0')"
9,9,2,9,tox,"tensor(0.5530, device='cuda:0')"
10,10,2,10,tox,"tensor(0.5519, device='cuda:0')"
11,11,2,11,tox,"tensor(0.5534, device='cuda:0')"
12,12,2,12,tox,"tensor(0.5536, device='cuda:0')"
13,13,2,13,tox,"tensor(0.5566, device='cuda:0')"
14,14,2,14,tox,"tensor(0.5565, device='cuda:0')"
15,15,2,15,tox,"tensor(0.5556, device='cuda:0')"
16,16,2,16,tox,"tensor(0.5558, device='cuda:0')"
17,17,2,17,tox,"tensor(0.5572, device='cuda:0')"
18,18,2,18,tox,"tensor(0.5573, device='cuda:0')"
19,19,2,19,tox,"tensor(0.5589, device='cuda:0')"
20,20,2,20,tox,"tensor(0.5605, device='cuda:0')"
21,21,2,21,tox,"tensor(0.5599, device='cuda:0')"
22,22,2,22,tox,"tensor(0.5607, device='cuda:0')"
23,23,2,23,tox,"tensor(0.5623, device='cuda:0')"
24,24,2,24,tox,"tensor(0.5643, device='cuda:0')"
25,25,2,25,tox,"tensor(0.5658, device='cuda:0')"
26,26,2,26,tox,"tensor(0.5650, device='cuda:0')"
27,27,2,27,tox,"tensor(0.5652, device='cuda:0')"
28,28,2,28,tox,"tensor(0.5658, device='cuda:0')"
29,29,2,29,tox,"tensor(0.5664, device='cuda:0')"
30,30,2,30,tox,"tensor(0.5671, device='cuda:0')"
31,31,2,31,tox,"tensor(0.5682, device='cuda:0')"
32,32,2,32,tox,"tensor(0.5688, device='cuda:0')"
33,33,2,33,tox,"tensor(0.5692, device='cuda:0')"
34,34,2,34,tox,"tensor(0.5691, device='cuda:0')"
35,35,2,35,tox,"tensor(0.5699, device='cuda:0')"
36,36,2,36,tox,"tensor(0.5706, device='cuda:0')"
37,37,2,37,tox,"tensor(0.5709, device='cuda:0')"
38,38,2,38,tox,"tensor(0.5717, device='cuda:0')"
39,39,2,39,tox,"tensor(0.5721, device='cuda:0')"
40,40,2,40,tox,"tensor(0.5722, device='cuda:0')"
41,41,2,41,tox,"tensor(0.5725, device='cuda:0')"
42,42,2,42,tox,"tensor(0.5729, device='cuda:0')"
43,43,2,43,tox,"tensor(0.5737, device='cuda:0')"
44,44,2,44,tox,"tensor(0.5739, device='cuda:0')"
45,45,2,45,tox,"tensor(0.5745, device='cuda:0')"
46,46,2,46,tox,"tensor(0.5743, device='cuda:0')"
47,47,2,47,tox,"tensor(0.5743, device='cuda:0')"
48,48,2,48,tox,"tensor(0.5745, device='cuda:0')"
49,49,2,49,tox,"tensor(0.5746, device='cuda:0')"
