,epoch,minibatch,trainstep,task,binacc
0,0,275,0,tox,"tensor(-0.0021, device='cuda:0')"
1,1,275,1,tox,"tensor(-0.0020, device='cuda:0')"
2,2,275,2,tox,"tensor(-0.0022, device='cuda:0')"
3,3,275,3,tox,"tensor(-6.0439e-05, device='cuda:0')"
4,4,275,4,tox,"tensor(-0.0002, device='cuda:0')"
5,5,275,5,tox,"tensor(0.0020, device='cuda:0')"
6,6,275,6,tox,"tensor(0.0040, device='cuda:0')"
7,7,275,7,tox,"tensor(0.0068, device='cuda:0')"
8,8,275,8,tox,"tensor(0.0094, device='cuda:0')"
9,9,275,9,tox,"tensor(0.0115, device='cuda:0')"
